sample_id,crop_path,mask_path,split
IMG_0001_plate_01,data\crops\IMG_0001_plate_01.jpg,data\masks\IMG_0001_plate_01.png,train
IMG_0002_plate_01,data\crops\IMG_0002_plate_01.jpg,data\masks\IMG_0002_plate_01.png,test
IMG_0003_plate_01,data\crops\IMG_0003_plate_01.jpg,data\masks\IMG_0003_plate_01.png,train
IMG_0004_plate_01,data\crops\IMG_0004_plate_01.jpg,data\masks\IMG_0004_plate_01.png,train
IMG_0004_plate_02,data\crops\IMG_0004_plate_02.jpg,data\masks\IMG_0004_plate_02.png,val
IMG_0004_plate_03,data\crops\IMG_0004_plate_03.jpg,data\masks\IMG_0004_plate_03.png,test
IMG_0004_plate_04,data\crops\IMG_0004_plate_04.jpg,data\masks\IMG_0004_plate_04.png,train
IMG_0004_plate_05,data\crops\IMG_0004_plate_05.jpg,data\masks\IMG_0004_plate_05.png,train
IMG_0005_plate_01,data\crops\IMG_0005_plate_01.jpg,data\masks\IMG_0005_plate_01.png,train
IMG_0005_plate_02,data\crops\IMG_0005_plate_02.jpg,data\masks\IMG_0005_plate_02.png,val
IMG_0005_plate_03,data\crops\IMG_0005_plate_03.jpg,data\masks\IMG_0005_plate_03.png,test
IMG_0006_plate_01,data\crops\IMG_0006_plate_01.jpg,data\masks\IMG_0006_plate_01.png,val
IMG_0006_plate_02,data\crops\IMG_0006_plate_02.jpg,data\masks\IMG_0006_plate_02.png,train
IMG_0006_plate_03,data\crops\IMG_0006_plate_03.jpg,data\masks\IMG_0006_plate_03.png,val
IMG_0006_plate_04,data\crops\IMG_0006_plate_04.jpg,data\masks\IMG_0006_plate_04.png,val
IMG_0006_plate_05,data\crops\IMG_0006_plate_05.jpg,data\masks\IMG_0006_plate_05.png,test
IMG_0007_plate_01,data\crops\IMG_0007_plate_01.jpg,data\masks\IMG_0007_plate_01.png,train
IMG_0007_plate_02,data\crops\IMG_0007_plate_02.jpg,data\masks\IMG_0007_plate_02.png,train
IMG_0007_plate_03,data\crops\IMG_0007_plate_03.jpg,data\masks\IMG_0007_plate_03.png,val
IMG_0008_plate_01,data\crops\IMG_0008_plate_01.jpg,data\masks\IMG_0008_plate_01.png,train
IMG_0008_plate_02,data\crops\IMG_0008_plate_02.jpg,data\masks\IMG_0008_plate_02.png,train
IMG_0008_plate_03,data\crops\IMG_0008_plate_03.jpg,data\masks\IMG_0008_plate_03.png,val
IMG_0008_plate_04,data\crops\IMG_0008_plate_04.jpg,data\masks\IMG_0008_plate_04.png,train
IMG_0008_plate_05,data\crops\IMG_0008_plate_05.jpg,data\masks\IMG_0008_plate_05.png,train
IMG_0009_plate_01,data\crops\IMG_0009_plate_01.jpg,data\masks\IMG_0009_plate_01.png,train
IMG_0009_plate_02,data\crops\IMG_0009_plate_02.jpg,data\masks\IMG_0009_plate_02.png,train
IMG_0009_plate_03,data\crops\IMG_0009_plate_03.jpg,data\masks\IMG_0009_plate_03.png,train
IMG_0009_plate_04,data\crops\IMG_0009_plate_04.jpg,data\masks\IMG_0009_plate_04.png,train
IMG_0010_plate_01,data\crops\IMG_0010_plate_01.jpg,data\masks\IMG_0010_plate_01.png,val
IMG_0010_plate_02,data\crops\IMG_0010_plate_02.jpg,data\masks\IMG_0010_plate_02.png,train
IMG_0010_plate_03,data\crops\IMG_0010_plate_03.jpg,data\masks\IMG_0010_plate_03.png,train
IMG_0010_plate_04,data\crops\IMG_0010_plate_04.jpg,data\masks\IMG_0010_plate_04.png,train
IMG_0010_plate_05,data\crops\IMG_0010_plate_05.jpg,data\masks\IMG_0010_plate_05.png,val
IMG_0011_plate_01,data\crops\IMG_0011_plate_01.jpg,data\masks\IMG_0011_plate_01.png,train
IMG_0011_plate_02,data\crops\IMG_0011_plate_02.jpg,data\masks\IMG_0011_plate_02.png,test
IMG_0011_plate_03,data\crops\IMG_0011_plate_03.jpg,data\masks\IMG_0011_plate_03.png,train
IMG_0011_plate_04,data\crops\IMG_0011_plate_04.jpg,data\masks\IMG_0011_plate_04.png,train
IMG_0012_plate_01,data\crops\IMG_0012_plate_01.jpg,data\masks\IMG_0012_plate_01.png,train
IMG_0012_plate_02,data\crops\IMG_0012_plate_02.jpg,data\masks\IMG_0012_plate_02.png,train
IMG_0012_plate_03,data\crops\IMG_0012_plate_03.jpg,data\masks\IMG_0012_plate_03.png,val
IMG_0012_plate_04,data\crops\IMG_0012_plate_04.jpg,data\masks\IMG_0012_plate_04.png,train
IMG_0013_plate_01,data\crops\IMG_0013_plate_01.jpg,data\masks\IMG_0013_plate_01.png,test
IMG_0013_plate_02,data\crops\IMG_0013_plate_02.jpg,data\masks\IMG_0013_plate_02.png,test
IMG_0013_plate_03,data\crops\IMG_0013_plate_03.jpg,data\masks\IMG_0013_plate_03.png,train
IMG_0014_plate_01,data\crops\IMG_0014_plate_01.jpg,data\masks\IMG_0014_plate_01.png,train
IMG_0014_plate_02,data\crops\IMG_0014_plate_02.jpg,data\masks\IMG_0014_plate_02.png,train
IMG_0014_plate_03,data\crops\IMG_0014_plate_03.jpg,data\masks\IMG_0014_plate_03.png,train
IMG_0014_plate_04,data\crops\IMG_0014_plate_04.jpg,data\masks\IMG_0014_plate_04.png,train
IMG_0015_plate_01,data\crops\IMG_0015_plate_01.jpg,data\masks\IMG_0015_plate_01.png,val
IMG_0015_plate_02,data\crops\IMG_0015_plate_02.jpg,data\masks\IMG_0015_plate_02.png,test
IMG_0015_plate_03,data\crops\IMG_0015_plate_03.jpg,data\masks\IMG_0015_plate_03.png,train
IMG_0016_plate_01,data\crops\IMG_0016_plate_01.jpg,data\masks\IMG_0016_plate_01.png,train
IMG_0016_plate_02,data\crops\IMG_0016_plate_02.jpg,data\masks\IMG_0016_plate_02.png,val
IMG_0017_plate_01,data\crops\IMG_0017_plate_01.jpg,data\masks\IMG_0017_plate_01.png,train
IMG_0017_plate_02,data\crops\IMG_0017_plate_02.jpg,data\masks\IMG_0017_plate_02.png,train
IMG_0018_plate_01,data\crops\IMG_0018_plate_01.jpg,data\masks\IMG_0018_plate_01.png,train
IMG_0018_plate_02,data\crops\IMG_0018_plate_02.jpg,data\masks\IMG_0018_plate_02.png,train
IMG_0018_plate_03,data\crops\IMG_0018_plate_03.jpg,data\masks\IMG_0018_plate_03.png,test
IMG_0018_plate_04,data\crops\IMG_0018_plate_04.jpg,data\masks\IMG_0018_plate_04.png,train
IMG_0019_plate_01,data\crops\IMG_0019_plate_01.jpg,data\masks\IMG_0019_plate_01.png,val
IMG_0020_plate_01,data\crops\IMG_0020_plate_01.jpg,data\masks\IMG_0020_plate_01.png,train
IMG_0020_plate_02,data\crops\IMG_0020_plate_02.jpg,data\masks\IMG_0020_plate_02.png,train
IMG_0020_plate_03,data\crops\IMG_0020_plate_03.jpg,data\masks\IMG_0020_plate_03.png,train
IMG_0021_plate_01,data\crops\IMG_0021_plate_01.jpg,data\masks\IMG_0021_plate_01.png,test
IMG_0021_plate_02,data\crops\IMG_0021_plate_02.jpg,data\masks\IMG_0021_plate_02.png,train
IMG_0021_plate_03,data\crops\IMG_0021_plate_03.jpg,data\masks\IMG_0021_plate_03.png,test
IMG_0022_plate_01,data\crops\IMG_0022_plate_01.jpg,data\masks\IMG_0022_plate_01.png,val
IMG_0022_plate_02,data\crops\IMG_0022_plate_02.jpg,data\masks\IMG_0022_plate_02.png,train
IMG_0022_plate_03,data\crops\IMG_0022_plate_03.jpg,data\masks\IMG_0022_plate_03.png,train
IMG_0023_plate_01,data\crops\IMG_0023_plate_01.jpg,data\masks\IMG_0023_plate_01.png,test
IMG_0023_plate_02,data\crops\IMG_0023_plate_02.jpg,data\masks\IMG_0023_plate_02.png,train
IMG_0023_plate_03,data\crops\IMG_0023_plate_03.jpg,data\masks\IMG_0023_plate_03.png,train
IMG_0024_plate_01,data\crops\IMG_0024_plate_01.jpg,data\masks\IMG_0024_plate_01.png,train
IMG_0024_plate_02,data\crops\IMG_0024_plate_02.jpg,data\masks\IMG_0024_plate_02.png,train
IMG_0024_plate_03,data\crops\IMG_0024_plate_03.jpg,data\masks\IMG_0024_plate_03.png,val
IMG_0024_plate_04,data\crops\IMG_0024_plate_04.jpg,data\masks\IMG_0024_plate_04.png,train
IMG_0025_plate_01,data\crops\IMG_0025_plate_01.jpg,data\masks\IMG_0025_plate_01.png,test
IMG_0025_plate_02,data\crops\IMG_0025_plate_02.jpg,data\masks\IMG_0025_plate_02.png,train
IMG_0025_plate_03,data\crops\IMG_0025_plate_03.jpg,data\masks\IMG_0025_plate_03.png,train
IMG_0026_plate_01,data\crops\IMG_0026_plate_01.jpg,data\masks\IMG_0026_plate_01.png,train
IMG_0026_plate_02,data\crops\IMG_0026_plate_02.jpg,data\masks\IMG_0026_plate_02.png,train
IMG_0026_plate_03,data\crops\IMG_0026_plate_03.jpg,data\masks\IMG_0026_plate_03.png,val
IMG_0026_plate_04,data\crops\IMG_0026_plate_04.jpg,data\masks\IMG_0026_plate_04.png,train
IMG_0027_plate_01,data\crops\IMG_0027_plate_01.jpg,data\masks\IMG_0027_plate_01.png,train
IMG_0027_plate_02,data\crops\IMG_0027_plate_02.jpg,data\masks\IMG_0027_plate_02.png,train
IMG_0027_plate_03,data\crops\IMG_0027_plate_03.jpg,data\masks\IMG_0027_plate_03.png,train
IMG_0027_plate_04,data\crops\IMG_0027_plate_04.jpg,data\masks\IMG_0027_plate_04.png,train
IMG_0028_plate_01,data\crops\IMG_0028_plate_01.jpg,data\masks\IMG_0028_plate_01.png,test
IMG_0028_plate_02,data\crops\IMG_0028_plate_02.jpg,data\masks\IMG_0028_plate_02.png,train
IMG_0028_plate_03,data\crops\IMG_0028_plate_03.jpg,data\masks\IMG_0028_plate_03.png,train
IMG_0028_plate_04,data\crops\IMG_0028_plate_04.jpg,data\masks\IMG_0028_plate_04.png,train
IMG_0028_plate_05,data\crops\IMG_0028_plate_05.jpg,data\masks\IMG_0028_plate_05.png,train
IMG_0029_plate_01,data\crops\IMG_0029_plate_01.jpg,data\masks\IMG_0029_plate_01.png,train
IMG_0029_plate_02,data\crops\IMG_0029_plate_02.jpg,data\masks\IMG_0029_plate_02.png,val
IMG_0029_plate_03,data\crops\IMG_0029_plate_03.jpg,data\masks\IMG_0029_plate_03.png,val
IMG_0030_plate_01,data\crops\IMG_0030_plate_01.jpg,data\masks\IMG_0030_plate_01.png,train
IMG_0030_plate_02,data\crops\IMG_0030_plate_02.jpg,data\masks\IMG_0030_plate_02.png,train
IMG_0030_plate_03,data\crops\IMG_0030_plate_03.jpg,data\masks\IMG_0030_plate_03.png,train
IMG_0030_plate_04,data\crops\IMG_0030_plate_04.jpg,data\masks\IMG_0030_plate_04.png,train
